Vocabulary Size:  27710
Total number of model parameters: 18.10M
| epoch   4 |  1500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.14 | ppl   170.94
| epoch   4 |  2000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.06 | ppl   157.94
| epoch   4 |  2500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.02 | ppl   151.73
| epoch   4 |  3000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.09 | ppl   161.68
| epoch   4 |  3500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.10 | ppl   163.62
| epoch   4 |  4000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.10 | ppl   163.93
| epoch   4 |  4500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.11 | ppl   165.18
| epoch   4 |  5000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.10 | ppl   164.77
| epoch   4 |  5500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.10 | ppl   164.04
| epoch   4 |  6000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.12 | ppl   167.25
| epoch   4 |  6500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.07 | ppl   159.22
| epoch   4 |  7000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.07 | ppl   159.36
| epoch   4 |  7500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.04 | ppl   154.70
| epoch   4 |  8000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.12 | ppl   166.87
| epoch   4 |  8500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.05 | ppl   155.96
| epoch   4 |  9000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.01 | ppl   149.69
| epoch   4 |  9500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.02 | ppl   151.29
| epoch   4 | 10000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.01 | ppl   149.44
| epoch   4 | 10500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.06 | ppl   156.84
| epoch   4 | 11000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.07 | ppl   159.60
| epoch   4 | 11500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.03 | ppl   153.51
| epoch   4 | 12000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.03 | ppl   152.79
