Vocabulary Size:  27710
Total number of model parameters: 31.56M
| epoch   3 |  9500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.14 | ppl   170.75
| epoch   3 | 10000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.14 | ppl   170.08
| epoch   3 | 10500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.18 | ppl   177.31
| epoch   3 | 11000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.19 | ppl   179.83
| epoch   3 | 11500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.15 | ppl   171.79
| epoch   3 | 12000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.14 | ppl   170.47
| epoch   3 | 12500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.11 | ppl   165.29
| epoch   3 | 13000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.12 | ppl   167.06
| epoch   3 | 13500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.14 | ppl   171.50
| epoch   3 | 14000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.17 | ppl   175.98
| epoch   3 | 14500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.09 | ppl   162.09
| epoch   3 | 15000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.08 | ppl   160.70
| epoch   3 | 15500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.09 | ppl   163.19
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 78.25s | valid loss  5.24 | valid ppl   189.55
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.15 | ppl   171.88
| epoch   4 |  1000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.15 | ppl   172.61
| epoch   4 |  1500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.20 | ppl   180.59
| epoch   4 |  2000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.11 | ppl   165.84
| epoch   4 |  2500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.06 | ppl   157.39
| epoch   4 |  3000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.13 | ppl   169.18
| epoch   4 |  3500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.14 | ppl   171.19
| epoch   4 |  4000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.14 | ppl   171.49
| epoch   4 |  4500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.15 | ppl   172.89
| epoch   4 |  5000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.15 | ppl   172.54
| epoch   4 |  5500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.14 | ppl   171.07
| epoch   4 |  6000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.17 | ppl   175.38
