Vocabulary Size:  27710
Total number of model parameters: 28.46M
| epoch   4 |  4500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.18 | ppl   177.77
| epoch   4 |  5000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.18 | ppl   177.11
| epoch   4 |  5500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.17 | ppl   176.01
| epoch   4 |  6000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.19 | ppl   179.45
| epoch   4 |  6500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.14 | ppl   170.33
| epoch   4 |  7000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.14 | ppl   171.03
| epoch   4 |  7500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.11 | ppl   165.46
| epoch   4 |  8000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.19 | ppl   179.39
| epoch   4 |  8500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.12 | ppl   167.78
| epoch   4 |  9000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.08 | ppl   160.19
| epoch   4 |  9500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.09 | ppl   162.09
| epoch   4 | 10000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.08 | ppl   160.98
| epoch   4 | 10500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.13 | ppl   168.90
| epoch   4 | 11000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.15 | ppl   171.59
| epoch   4 | 11500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.11 | ppl   164.96
| epoch   4 | 12000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.10 | ppl   163.86
| epoch   4 | 12500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.06 | ppl   158.31
| epoch   4 | 13000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.08 | ppl   160.74
| epoch   4 | 13500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.10 | ppl   164.24
| epoch   4 | 14000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.13 | ppl   168.64
| epoch   4 | 14500/15983 batches | lr 2.00 | ms/batch  4.61 | loss  5.05 | ppl   155.33
| epoch   4 | 15000/15983 batches | lr 2.00 | ms/batch  4.61 | loss  5.05 | ppl   155.26
| epoch   4 | 15500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.06 | ppl   157.03
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 73.90s | valid loss  5.22 | valid ppl   184.54
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 2.00 | ms/batch  4.61 | loss  5.11 | ppl   164.87
