Vocabulary Size:  27710
Total number of model parameters: 18.10M
| epoch   3 | 14000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.01 | ppl   150.40
| epoch   3 | 14500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.95 | ppl   140.47
| epoch   3 | 15000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.95 | ppl   141.21
| epoch   3 | 15500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.95 | ppl   141.28
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 78.89s | valid loss  5.18 | valid ppl   178.52
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  4.99 | ppl   146.80
| epoch   4 |  1000/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.99 | ppl   147.60
| epoch   4 |  1500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  5.02 | ppl   151.01
| epoch   4 |  2000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.95 | ppl   141.02
| epoch   4 |  2500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.92 | ppl   136.74
| epoch   4 |  3000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.97 | ppl   144.57
| epoch   4 |  3500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.99 | ppl   146.74
| epoch   4 |  4000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.98 | ppl   146.00
| epoch   4 |  4500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.99 | ppl   146.80
| epoch   4 |  5000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.99 | ppl   147.30
| epoch   4 |  5500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.99 | ppl   146.86
| epoch   4 |  6000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.01 | ppl   150.07
| epoch   4 |  6500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.96 | ppl   142.32
| epoch   4 |  7000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.96 | ppl   142.93
| epoch   4 |  7500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.93 | ppl   138.72
| epoch   4 |  8000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.01 | ppl   150.23
| epoch   4 |  8500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.94 | ppl   140.35
| epoch   4 |  9000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.90 | ppl   134.64
| epoch   4 |  9500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.91 | ppl   135.88
| epoch   4 | 10000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.90 | ppl   134.11
| epoch   4 | 10500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.95 | ppl   141.54
| epoch   4 | 11000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.97 | ppl   143.60
| epoch   4 | 11500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.93 | ppl   138.59
| epoch   4 | 12000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.93 | ppl   138.01
| epoch   4 | 12500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.89 | ppl   133.13
| epoch   4 | 13000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.91 | ppl   135.64
| epoch   4 | 13500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.92 | ppl   137.69
| epoch   4 | 14000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.95 | ppl   140.75
| epoch   4 | 14500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.89 | ppl   132.49
| epoch   4 | 15000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.89 | ppl   133.10
| epoch   4 | 15500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.89 | ppl   132.58
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 78.94s | valid loss  5.17 | valid ppl   175.91
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  4.93 | ppl   137.99
| epoch   5 |  1000/15983 batches | lr 2.00 | ms/batch  4.93 | loss  4.93 | ppl   139.01
| epoch   5 |  1500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.96 | ppl   142.04
