Vocabulary Size:  27710
Total number of model parameters: 11.27M
| epoch   3 | 15500/15983 batches | lr 20.00 | ms/batch 326.89 | loss 13.82 | ppl 1002459.52
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 5239.24s | valid loss 10.72 | valid ppl 45355.98
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 20.00 | ms/batch 324.15 | loss 13.89 | ppl 1080441.04
| epoch   4 |  1000/15983 batches | lr 20.00 | ms/batch 324.11 | loss 14.00 | ppl 1198168.00
| epoch   4 |  1500/15983 batches | lr 20.00 | ms/batch 323.92 | loss 13.87 | ppl 1051509.10
| epoch   4 |  2000/15983 batches | lr 20.00 | ms/batch 324.04 | loss 13.86 | ppl 1043561.25
| epoch   4 |  2500/15983 batches | lr 20.00 | ms/batch 324.17 | loss 13.87 | ppl 1051349.62
| epoch   4 |  3000/15983 batches | lr 20.00 | ms/batch 323.35 | loss 13.82 | ppl 1005489.42
| epoch   4 |  3500/15983 batches | lr 20.00 | ms/batch 323.73 | loss 13.87 | ppl 1056280.85
| epoch   4 |  4000/15983 batches | lr 20.00 | ms/batch 323.22 | loss 14.11 | ppl 1348529.54
| epoch   4 |  4500/15983 batches | lr 20.00 | ms/batch 323.28 | loss 13.98 | ppl 1176657.79
| epoch   4 |  5000/15983 batches | lr 20.00 | ms/batch 323.92 | loss 13.95 | ppl 1139656.68
| epoch   4 |  5500/15983 batches | lr 20.00 | ms/batch 322.78 | loss 13.86 | ppl 1043864.90
| epoch   4 |  6000/15983 batches | lr 20.00 | ms/batch 321.67 | loss 14.03 | ppl 1244057.28
| epoch   4 |  6500/15983 batches | lr 20.00 | ms/batch 322.40 | loss 13.99 | ppl 1191550.09
| epoch   4 |  7000/15983 batches | lr 20.00 | ms/batch 322.27 | loss 14.07 | ppl 1296207.31
| epoch   4 |  7500/15983 batches | lr 20.00 | ms/batch 324.01 | loss 14.02 | ppl 1230567.92
| epoch   4 |  8000/15983 batches | lr 20.00 | ms/batch 323.81 | loss 14.05 | ppl 1263994.81
| epoch   4 |  8500/15983 batches | lr 20.00 | ms/batch 322.70 | loss 14.01 | ppl 1208819.33
| epoch   4 |  9000/15983 batches | lr 20.00 | ms/batch 323.13 | loss 13.89 | ppl 1072658.76
| epoch   4 |  9500/15983 batches | lr 20.00 | ms/batch 323.96 | loss 14.05 | ppl 1263484.87
| epoch   4 | 10000/15983 batches | lr 20.00 | ms/batch 326.35 | loss 14.11 | ppl 1342320.01
| epoch   4 | 10500/15983 batches | lr 20.00 | ms/batch 327.28 | loss 14.14 | ppl 1385386.03
| epoch   4 | 11000/15983 batches | lr 20.00 | ms/batch 326.75 | loss 14.01 | ppl 1213707.42
| epoch   4 | 11500/15983 batches | lr 20.00 | ms/batch 324.97 | loss 13.98 | ppl 1178362.20
| epoch   4 | 12000/15983 batches | lr 20.00 | ms/batch 325.68 | loss 14.12 | ppl 1356216.62
| epoch   4 | 12500/15983 batches | lr 20.00 | ms/batch 325.25 | loss 13.96 | ppl 1154749.83
| epoch   4 | 13000/15983 batches | lr 20.00 | ms/batch 326.91 | loss 14.02 | ppl 1230929.83
| epoch   4 | 13500/15983 batches | lr 20.00 | ms/batch 326.39 | loss 13.93 | ppl 1120909.97
| epoch   4 | 14000/15983 batches | lr 20.00 | ms/batch 324.82 | loss 13.88 | ppl 1062863.11
| epoch   4 | 14500/15983 batches | lr 20.00 | ms/batch 325.03 | loss 14.00 | ppl 1205613.05
| epoch   4 | 15000/15983 batches | lr 20.00 | ms/batch 325.35 | loss 13.96 | ppl 1155327.87
| epoch   4 | 15500/15983 batches | lr 20.00 | ms/batch 323.69 | loss 13.84 | ppl 1020925.31
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 5201.20s | valid loss 13.39 | valid ppl 656161.66
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 5.00 | ms/batch 324.06 | loss  7.58 | ppl  1965.00
| epoch   5 |  1000/15983 batches | lr 5.00 | ms/batch 323.86 | loss  7.41 | ppl  1660.55
| epoch   5 |  1500/15983 batches | lr 5.00 | ms/batch 324.41 | loss  7.43 | ppl  1682.60
| epoch   5 |  2000/15983 batches | lr 5.00 | ms/batch 323.28 | loss  7.37 | ppl  1582.04
| epoch   5 |  2500/15983 batches | lr 5.00 | ms/batch 323.63 | loss  7.28 | ppl  1444.44
| epoch   5 |  3000/15983 batches | lr 5.00 | ms/batch 322.69 | loss  7.36 | ppl  1567.05
| epoch   5 |  3500/15983 batches | lr 5.00 | ms/batch 323.15 | loss  7.37 | ppl  1592.78
| epoch   5 |  4000/15983 batches | lr 5.00 | ms/batch 324.36 | loss  7.41 | ppl  1652.94
| epoch   5 |  4500/15983 batches | lr 5.00 | ms/batch 325.21 | loss  7.41 | ppl  1644.71
| epoch   5 |  5000/15983 batches | lr 5.00 | ms/batch 323.10 | loss  7.44 | ppl  1695.61
| epoch   5 |  5500/15983 batches | lr 5.00 | ms/batch 323.56 | loss  7.38 | ppl  1607.71
| epoch   5 |  6000/15983 batches | lr 5.00 | ms/batch 322.76 | loss  7.39 | ppl  1622.36
| epoch   5 |  6500/15983 batches | lr 5.00 | ms/batch 323.72 | loss  7.36 | ppl  1577.17
| epoch   5 |  7000/15983 batches | lr 5.00 | ms/batch 324.63 | loss  7.38 | ppl  1606.66
| epoch   5 |  7500/15983 batches | lr 5.00 | ms/batch 324.85 | loss  7.37 | ppl  1591.50
| epoch   5 |  8000/15983 batches | lr 5.00 | ms/batch 324.39 | loss  7.41 | ppl  1657.50
| epoch   5 |  8500/15983 batches | lr 5.00 | ms/batch 324.34 | loss  7.37 | ppl  1585.95
| epoch   5 |  9000/15983 batches | lr 5.00 | ms/batch 324.46 | loss  7.33 | ppl  1524.53
| epoch   5 |  9500/15983 batches | lr 5.00 | ms/batch 324.97 | loss  7.34 | ppl  1543.47
| epoch   5 | 10000/15983 batches | lr 5.00 | ms/batch 324.07 | loss  7.35 | ppl  1563.71
| epoch   5 | 10500/15983 batches | lr 5.00 | ms/batch 323.37 | loss  7.36 | ppl  1568.90
| epoch   5 | 11000/15983 batches | lr 5.00 | ms/batch 322.11 | loss  7.36 | ppl  1576.34
